,code,更新日期,code1,股票简称,Wind一级行业,Wind二级行业,公司属性,wind1,wind2,company
160,603712.SH,2023/11/17,603712,七一二,信息技术,技术硬件与设备,地方国有企业,2,2,2
161,603719.SH,2023/11/17,603719,良品铺子,可选消费,零售业,民营企业,6,15,3
162,603983.SH,2023/11/17,603983,丸美股份,日常消费,家庭与个人用品,民营企业,8,19,3
163,002532.SZ,2023/11/17,2532,天山铝业,材料,材料Ⅱ,民营企业,1,1,3
164,002945.SZ,2023/11/17,2945,华林证券,金融,多元金融,民营企业,7,9,3
165,002946.SZ,2023/11/17,2946,新乳业,日常消费,食品、饮料与烟草,民营企业,8,13,3
166,002948.SZ,2023/11/17,2948,青岛银行,金融,银行,公众企业,7,20,0
167,002966.SZ,2023/11/17,2966,苏州银行,金融,银行,公众企业,7,20,0
168,300724.SZ,2023/11/17,300724,捷佳伟创,信息技术,半导体与半导体生产设备,民营企业,2,16,3
169,601333.SH,2023/11/17,601333,广深铁路,工业,运输,中央国有企业,0,6,1
170,002002.SZ,2023/11/17,2002,ST鸿达,材料,材料Ⅱ,民营企业,1,1,3
171,002004.SZ,2023/11/17,2004,华邦健康,材料,材料Ⅱ,民营企业,1,1,3
172,600095.SH,2023/11/17,600095,湘财股份,金融,多元金融,民营企业,7,9,3
173,600096.SH,2023/11/17,600096,云天化,材料,材料Ⅱ,地方国有企业,1,1,2
174,002266.SZ,2023/11/17,2266,浙富控股,工业,资本货物,民营企业,0,0,3
175,002268.SZ,2023/11/17,2268,电科网安,信息技术,软件与服务,中央国有企业,2,8,1
176,600927.SH,2023/11/17,600927,永安期货,金融,多元金融,地方国有企业,7,9,2
177,600928.SH,2023/11/17,600928,西安银行,金融,银行,地方国有企业,7,20,2
178,603218.SH,2023/11/17,603218,日月股份,工业,资本货物,民营企业,0,0,3
179,603786.SH,2023/11/17,603786,科博达,可选消费,汽车与汽车零部件,民营企业,6,12,3
180,605117.SH,2023/11/17,605117,德业股份,可选消费,耐用消费品与服装,民营企业,6,14,3
181,603026.SH,2023/11/17,603026,胜华新材,材料,材料Ⅱ,地方国有企业,1,1,2
182,600006.SH,2023/11/17,600006,东风汽车,可选消费,汽车与汽车零部件,中央国有企业,6,12,1
183,600008.SH,2023/11/17,600008,首创环保,公用事业,公用事业Ⅱ,地方国有企业,3,3,2
184,600369.SH,2023/11/17,600369,西南证券,金融,多元金融,地方国有企业,7,9,2
185,600372.SH,2023/11/17,600372,中航机载,工业,资本货物,中央国有企业,0,0,1
186,600373.SH,2023/11/17,600373,中文传媒,可选消费,媒体Ⅱ,地方国有企业,6,7,2
187,601456.SH,2023/11/17,601456,国联证券,金融,多元金融,地方国有企业,7,9,2
188,002028.SZ,2023/11/17,2028,思源电气,工业,资本货物,民营企业,0,0,3
189,002030.SZ,2023/11/17,2030,达安基因,医疗保健,制药、生物科技与生命科学,地方国有企业,4,10,2
190,002985.SZ,2023/11/17,2985,北摩高科,工业,资本货物,民营企业,0,0,3
191,600546.SH,2023/11/17,600546,山煤国际,能源,能源Ⅱ,地方国有企业,9,18,2
192,600549.SH,2023/11/17,600549,厦门钨业,材料,材料Ⅱ,地方国有企业,1,1,2
193,600556.SH,2023/11/17,600556,天下秀,信息技术,软件与服务,民营企业,2,8,3
194,300741.SZ,2023/11/17,300741,华宝股份,日常消费,食品、饮料与烟草,外资企业,8,13,6
195,600109.SH,2023/11/17,600109,国金证券,金融,多元金融,民营企业,7,9,3
196,002010.SZ,2023/11/17,2010,传化智联,工业,运输,民营企业,0,6,3
197,002273.SZ,2023/11/17,2273,水晶光电,信息技术,技术硬件与设备,民营企业,2,2,3
198,600956.SH,2023/11/17,600956,新天绿能,公用事业,公用事业Ⅱ,地方国有企业,3,3,2
199,600959.SH,2023/11/17,600959,江苏有线,可选消费,媒体Ⅱ,地方国有企业,6,7,2
200,603225.SH,2023/11/17,603225,新凤鸣,材料,材料Ⅱ,民营企业,1,1,3
201,603228.SH,2023/11/17,603228,景旺电子,信息技术,技术硬件与设备,民营企业,2,2,3
202,603056.SH,2023/11/17,603056,德邦股份,工业,运输,民营企业,0,6,3
203,300253.SZ,2023/11/17,300253,卫宁健康,信息技术,软件与服务,民营企业,2,8,3
204,300257.SZ,2023/11/17,300257,开山股份,工业,资本货物,民营企业,0,0,3
205,600376.SH,2023/11/17,600376,首开股份,房地产,房地产Ⅱ,地方国有企业,5,5,2
206,600377.SH,2023/11/17,600377,宁沪高速,工业,运输,地方国有企业,0,6,2
207,600380.SH,2023/11/17,600380,健康元,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
208,601555.SH,2023/11/17,601555,东吴证券,金融,多元金融,地方国有企业,7,9,2
209,601568.SH,2023/11/17,601568,北元集团,材料,材料Ⅱ,地方国有企业,1,1,2
210,601577.SH,2023/11/17,601577,长沙银行,金融,银行,地方国有企业,7,20,2
211,600021.SH,2023/11/17,600021,上海电力,公用事业,公用事业Ⅱ,中央国有企业,3,3,1
212,003035.SZ,2023/11/17,3035,南网能源,公用事业,公用事业Ⅱ,中央国有企业,3,3,1
213,002048.SZ,2023/11/17,2048,宁波华翔,可选消费,汽车与汽车零部件,民营企业,6,12,3
214,603858.SH,2023/11/17,603858,步长制药,医疗保健,制药、生物科技与生命科学,外资企业,4,10,6
215,600563.SH,2023/11/17,600563,法拉电子,信息技术,技术硬件与设备,集体企业,2,2,5
216,002019.SZ,2023/11/17,2019,亿帆医药,医疗保健,制药、生物科技与生命科学,民营企业,4,10,3
217,600271.SH,2023/11/17,600271,航天信息,信息技术,技术硬件与设备,中央国有企业,2,2,1
218,600967.SH,2023/11/17,600967,内蒙一机,工业,资本货物,中央国有企业,0,0,1
