p-p = -0.007310058921575546, last = buy buy
p-p = -0.008882170543074608, last = buy buy
p-p = -0.00873897410929203, last = buy buy
p-p = -0.008489865809679031, last = buy buy
p-p = -0.006715225055813789, last = buy buy
p-p = -0.004746872931718826, last = buy buy
p-p = -0.019250744953751564, last = buy buy
p-p = -0.015781410038471222, last = buy buy
p-p = -0.0044693052768707275, last = buy buy
p-p = -0.008910955861210823, last = buy buy
p-p = -0.010196411982178688, last = buy buy
p-p = -0.008518865332007408, last = buy buy
p-p = -0.0026566535234451294, last = buy buy
p-p = -0.02160017564892769, last = buy buy
p-p = -0.0058932192623615265, last = buy buy
p-p = -0.004478592425584793, last = buy buy
p-p = -0.012652216479182243, last = buy buy
p-p = -0.0018757469952106476, last = buy buy
p-p = -0.010853644460439682, last = buy buy
p-p = -0.018414733931422234, last = buy buy
p-p = -0.002201613038778305, last = buy buy
p-p = -0.004979308694601059, last = buy buy
p-p = -0.006953049451112747, last = buy buy
p-p = -0.0025183893740177155, last = buy buy
p-p = -0.016473768278956413, last = buy buy
p-p = -0.0018620006740093231, last = buy buy
p-p = -0.006886821240186691, last = buy buy
p-p = -0.024501841515302658, last = buy buy
p-p = -0.002074744552373886, last = buy buy
p-p = -0.002045579254627228, last = buy buy
p-p = -0.007938321679830551, last = buy buy
p-p = -0.004635035991668701, last = buy buy
p-p = -0.0013822056353092194, last = buy buy
p-p = -0.009229641407728195, last = buy buy
p-p = -0.02615811675786972, last = buy buy
p-p = -0.0013050660490989685, last = buy buy
p-p = -0.03938712924718857, last = buy buy
p-p = -0.016200058162212372, last = buy buy
p-p = -0.0070902518928050995, last = buy buy
p-p = -0.021653832867741585, last = buy buy
p-p = -0.0015304125845432281, last = buy buy
p-p = -0.0060299113392829895, last = buy buy
p-p = -0.01230989582836628, last = buy buy
p-p = -0.01634015142917633, last = buy buy
p-p = -0.0027944333851337433, last = buy buy
p-p = -0.02067611925303936, last = buy buy
p-p = -0.0157058946788311, last = buy buy
p-p = -0.0030656196177005768, last = buy buy
p-p = -0.006897281855344772, last = buy buy
p-p = -0.006912175565958023, last = buy buy
p-p = -0.037760257720947266, last = buy buy
