
p-p = 3.0211329460144043, last = sell sell
p-p = 9.249863624572754, last = sell sell
p-p = 5.759859085083008, last = sell sell
p-p = 1.005854845046997, last = sell sell
p-p = 2.6177077293395996, last = sell sell
p-p = 3.7927379608154297, last = sell sell
p-p = 2.0164308547973633, last = sell sell
p-p = 5.445974349975586, last = sell sell
p-p = 11.546375274658203, last = sell sell
p-p = 1.8666119575500488, last = sell sell
p-p = 38.16753387451172, last = sell sell
p-p = 13.35922622680664, last = sell sell
p-p = 16.312698364257812, last = sell sell
p-p = 68.63619995117188, last = sell sell
p-p = 32.93107604980469, last = sell sell
p-p = 1.7694497108459473, last = sell sell
p-p = 15.782584190368652, last = sell sell
p-p = 5.067089557647705, last = sell sell
p-p = 1.7540818452835083, last = sell sell
p-p = 7.252597808837891, last = sell sell
p-p = 132.92282104492188, last = sell sell
p-p = 0.20386360585689545, last = sell sell
p-p = 32.65700149536133, last = sell sell
p-p = 35.99693298339844, last = sell sell
p-p = 1.0939399003982544, last = sell sell
p-p = 18.350406646728516, last = sell sell
p-p = 22.30562400817871, last = sell sell
p-p = 15.857072830200195, last = sell sell
p-p = 3.859231948852539, last = sell sell
p-p = 3.3809120655059814, last = sell sell
p-p = 111.8428955078125, last = sell sell
p-p = 3.1049537658691406, last = sell sell
p-p = 0.8613989353179932, last = sell sell
p-p = 2.01145601272583, last = sell sell
p-p = 1.5696778297424316, last = sell sell
p-p = 2.0500986576080322, last = sell sell
p-p = 59.260013580322266, last = sell sell
p-p = 16.4450740814209, last = sell sell
p-p = 5.138216018676758, last = sell sell
p-p = 3.0501608848571777, last = sell sell
p-p = 3.9439613819122314, last = sell sell
p-p = 18.879188537597656, last = sell sell
p-p = 4.234608173370361, last = sell sell
p-p = 2.1771628856658936, last = sell sell
p-p = 13.506915092468262, last = sell sell
p-p = 58.25191879272461, last = sell sell
p-p = 33.67756271362305, last = sell sell
p-p = 9.192998886108398, last = sell sell
p-p = 5.414437770843506, last = sell sell
p-p = 0.3714960217475891, last = sell sell
p-p = 5.052451133728027, last = sell sell
p-p = 5.54280948638916, last = sell sell
p-p = 69.45729064941406, last = sell sell
p-p = 2.309418201446533, last = sell sell
p-p = 4.332500457763672, last = sell sell
p-p = 2.8260717391967773, last = sell sell
p-p = 2.841524600982666, last = sell sell
p-p = 7.017566680908203, last = sell sell
p-p = 6.921426773071289, last = sell sell
p-p = 8.361284255981445, last = sell sell
p-p = 4.280160903930664, last = sell sell
p-p = 3.3220174312591553, last = sell sell
p-p = 12.917109489440918, last = sell sell
p-p = 3.21785306930542, last = sell sell
p-p = 19.666122436523438, last = sell sell
p-p = 2.6809329986572266, last = sell sell
p-p = 5.9661455154418945, last = sell sell
p-p = 16.497655868530273, last = sell sell
p-p = 7.242760181427002, last = sell sell
p-p = 6.196892261505127, last = sell sell
p-p = 0.8024882078170776, last = sell sell
p-p = 4.407196044921875, last = sell sell
p-p = 8.734310150146484, last = sell sell
p-p = 8.093524932861328, last = sell sell
p-p = 3.7886359691619873, last = sell sell
p-p = 20.305294036865234, last = sell sell
p-p = 63.27977752685547, last = sell sell
p-p = 7.847379684448242, last = sell sell
p-p = 1.9448373317718506, last = sell sell
p-p = 7.418891429901123, last = sell sell
p-p = 2.284214735031128, last = sell sell
p-p = 9.23292350769043, last = sell sell
p-p = 6.116602897644043, last = sell sell
p-p = 1.3842480182647705, last = sell sell
p-p = 2.7243223190307617, last = sell sell
p-p = 0.8185554146766663, last = sell sell
p-p = 5.253866195678711, last = sell sell
p-p = 72.65022277832031, last = sell sell
p-p = 6.863541126251221, last = sell sell
p-p = 7.071451663970947, last = sell sell
